Unnamed: 0,visitor,Criteria(%),Homestay(seasonal),Available_for,House_facilities,absolute_link
0,Meet Eddie,91,Urban Cosy,Welcomes Males Females Couples Families Students,Desk and Lamp TV Air Conditioning Closet / Wardrobe Bedside Locker / Nightstand Carpet / Moquette Mirror Fridge Hair-dryer,https://www.homestay.com//united-states/west-new-york/203485-homestay-in-new-jersey-west-new-york
1,Meet Linda,100,NYC Queens Cosy,Welcomes Males Females Couples Families Students,Desk and Lamp TV Dresser / Drawers Bedside Locker / Nightstand Fridge Hair-dryer,https://www.homestay.com//united-states/new-york-queens/238291-homestay-in-queens-new-york-queens
2,Meet Jennifer,100,Cosmopolitan Eco friendly,Welcomes Males Females Couples Families Students,Garden Laundry Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/new-york/8972-homestay-in-upper-east-side-new-york
3,Meet Chris,100,Urban Cosy,Welcomes Males Females Couples Families Students,TV Internet Access,https://www.homestay.com//united-states/new-york/66293-homestay-in-east-village-new-york
4,Meet Cherylene,100,Beautiful  Cosy,Welcomes Males Females Couples Families Students,Parking TV Internet Access,https://www.homestay.com//united-states/brooklyn/263425-homestay-in-brooklyn-brooklyn
5,Meet Thea,100,Urban Cosy,Welcomes Males Females Couples Families Students,Garden Bikes for use Laundry Patio Barbecue Parking TV Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/secaucus/29947-homestay-in-surburbancity-community-secaucus
6,Meet Patrick,100,Suburban Period style,Welcomes Males Females Couples Families Students,TV Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/queens/243108-homestay-in-bellerose-queens
7,Meet Sonia,56,Urban Cosy,Welcomes Males Females Couples Families Students,Internet Access Air Conditioning,https://www.homestay.com//united-states/brooklyn/117353-homestay-in-bushwick-brooklyn
8,Meet Anthony,66,Urban Cosy,Welcomes Males Females Couples Families Students,Desk and Lamp TV Air Conditioning Dresser / Drawers Closet / Wardrobe Mirror Fridge Hair-dryer,https://www.homestay.com//united-states/brooklyn/29206-homestay-in-residential-brooklyn
9,Meet Slada,56,Suburban Cosy,Welcomes Males Females Couples Families Students,Garden Parking TV Internet Access Smoke alarm Smoke alarm on each floor Carbon monoxide detector,https://www.homestay.com//united-states/brooklyn/9461-homestay-in-flatlands-brooklyn
10,Meet Sharon,100,Trendy Unusual,Welcomes Males Females Couples Families Students,Garden Parking Internet Access Smoke alarm,https://www.homestay.com//united-states/brooklyn/119358-homestay-in-fort-greene-brooklyn
11,Meet Yolanda,56,Urban Cosy,Welcomes Males Females Couples Families Students,Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/new-york/16773-homestay-in-woodhaven-new-york
12,Meet Denise,75,Cosy,Welcomes Males Females Couples Families Students,TV Internet Access Air Conditioning,https://www.homestay.com//united-states/brooklyn-new-york/139422-homestay-in-crown-heights-brooklyn-new-york
13,Meet Lulu,100,Urban Arty,Welcomes Males Females Couples Families Students,Bikes for use Laundry TV Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/williamsburg-brooklyn/152776-homestay-in-williamsburg-brooklyn-williamsburg-brooklyn
14,Meet Ashley,100,Urban Arty,Welcomes Males Females Couples Families Students,Desk and Lamp Dresser / Drawers Closet / Wardrobe Mirror Hair-dryer,https://www.homestay.com//united-states/brooklyn/202230-homestay-in-clinton-hill-brooklyn
15,Meet Laurie,100,Urban Cosy,Welcomes Males Females Couples Families Students,Laundry Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/new-york/174552-homestay-in-brooklyn-new-york
16,Meet Judith,56,Urban Stylish,Welcomes Males Females Couples Families Students,TV Internet Access,https://www.homestay.com//united-states/new-york/6161-homestay-in-brooklyn-new-york
17,Meet Jennifer,50,Cosmopolitan Arty,Welcomes Males Females Couples Families Students,TV Internet Access Air Conditioning,https://www.homestay.com//united-states/new-york/245848-homestay-in-manhattan-new-york
18,Meet Delia,100,Urban Cosy,Welcomes Males Females Couples Families Students,TV Internet Access Smoke alarm,https://www.homestay.com//united-states/new-york/193682-homestay-in-manhattan-new-york
19,Meet Jennifer,56,Urban Spacious,Welcomes Males Females Couples Families Students,Laundry TV Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/new-york/174536-homestay-in-manhattan-new-york
20,Meet Aminta,100,Urban Modern,Welcomes Males Females Couples Families Students,Garden Laundry Patio Parking Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/north-bergen/114459-homestay-in-urban-north-bergen
21,Meet Jackie,56,Cosmopolitan Stylish,Welcomes Males Females Couples Families Students,TV Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/brookyln/65375-homestay-in-fort-greene-brookyln
